"Date","Sale","Is Marketplace","Total (USD)","Refunds (USD)","Tax (USD)","Platform Fee (USD)","Net Total (USD)"
"2024-08-01 16:17:46","Order #84725173","No","110.74","0","-12.74","-7.71","90.29"
"2024-08-06 04:37:50","Order #84725174","No","349","0","0","-23.19","325.81"
"2024-08-06 23:31:06","Order #84725175","No","98","0","0","-5.4","92.6"
"2024-08-08 04:24:43","Order #84725176","No","75.46","0","-6.86","-5.42","63.18"
"2024-08-10 01:22:50","Order #84725177","No","105.84","0","-7.84","-7.39","90.61"
"2024-08-11 14:22:38","Order #84725178","No","39.2","0","0","-3.05","36.15"
"2024-08-14 21:29:53","Order #84725179","No","112.7","0","-14.7","-7.84","90.16"
"2024-08-28 00:00:00","Payout fee","-","0","0","0","-6.44","-6.44"
