"Date","Sale","Is Marketplace","Total (USD)","Refunds (USD)","Tax (USD)","Platform Fee (USD)","Net Total (USD)"
"2024-05-10 19:28:11","Order #847251","No","99.99","0","0","-5.5","94.49"
"2024-05-11 17:14:20","Order #847252","No","106.99","0","-7","-5.85","94.14"
"2024-05-12 03:43:08","Order #847253","No","99.99","0","0","-7","92.99"
"2024-05-12 15:13:02","Order #847254","No","108.24","0","-8.25","-5.92","94.07"
"2024-05-12 19:29:56","Order #847255","No","99.99","0","0","-7","92.99"
"2024-05-13 13:06:04","Order #847256","No","99.99","0","0","-12","87.99"
"2024-05-13 19:10:50","Order #847257","No","99.99","0","0","-7","92.99"
"2024-05-14 03:07:43","Order #847258","No","99.99","0","0","-7","92.99"
"2024-05-28 00:00:00","Payout fee","-","0","0","0","-6.21","-6.21"
