"Date","Sale","Is Marketplace","Total (USD)","Refunds (USD)","Tax (USD)","Platform Fee (USD)","Net Total (USD)"
"2024-09-02 03:12:09","Order #84725202","No","97.02","0","-8.82","-8.28","79.92"
"2024-09-05 17:11:55","Order #84725203","No","105.84","0","-17.64","-7.39","80.81"
"2024-09-06 12:39:45","Order #84725204","No","98","0","0","-6.87","91.13"
"2024-09-06 14:45:51","Order #84725205","No","105.84","0","-7.84","-7.39","90.61"
"2024-09-06 19:27:27","Order #84725206","No","98","0","0","-5.4","92.6"
"2024-09-08 23:47:00","Order #84725207","No","98","0","0","-5.4","92.6"
"2024-09-09 12:41:02","Order #84725208","No","49","0","0","-3.69","45.31"
"2024-09-28 00:00:00","Payout fee","-","0","0","0","-5.36","-5.36"
