"Date","Sale","Is Marketplace","Total (USD)","Refunds (USD)","Tax (USD)","Platform Fee (USD)","Net Total (USD)"
"2024-05-23 01:01:43","Order #847259","No","109.99","0","-10","-7.65","92.34"
"2024-05-27 15:01:50","Order #8472510","No","99.99","0","0","-7","92.99"
"2024-05-28 18:09:30","Order #8472511","No","99.99","0","0","-5.5","94.49"
"2024-05-30 18:25:59","Order #8472512","No","86.39","0","-6.4","-4.82","75.17"
"2024-06-02 17:00:24","Refund - Order #8472510","No","0","-99.99","0","0","-99.99"
"2024-06-14 00:00:00","Payout fee","-","0","0","0","-3.77","-3.77"
